ID,Type,Scenario,Sentence,Options,Correct,PHD_Feedback
1,Ezdit (↔️),Trasporto,"Он летом всегда {{1}} на велике, а зимой на автобусе.",ездит / едет,ездит,Abitudine ↔️: 'Frequentare/Usare' un mezzo.
2,Exat (➡️),Trasporto,"Андрей взял машину Тимура, {{1}} с работы сначала в банк потом в магазин потом домой.",едет / ездит,едет,Vettore ➡️: Tragitto preciso (A→B→C→D).
3,Ezdit (↔️),Trasporto,"Тимур — фанат технологий, он {{1}} на работу только на электросамокате.",ездит / едет,ездит,Abitudine ↔️: 'Frequentare'.
4,Exat (➡️),Trasporto,"— Я {{1}} в торговый центр. — На машине? — Нет, машина сломалась, {{1}} на метро.",еду / езжу,еду,Vettore ➡️: Movimento attuale verso una meta definita.
5,Ezdit (↔️),Trasporto,"Даша никогда не {{1}} с ребенком на автобусе. Слишком сложно с коляской.",ездит / едет,ездит,Abitudine negativa ↔️.
6,Exat (➡️),Trasporto,"Женя сегодня {{1}} на встречу, он очень элегантен в своем новом авто.",едет / ездит,едет,Vettore ➡️: Meta della riunione.
7,Ezdit (↔️),Trasporto,"Катя ненавидит общественный транспорт, она всегда {{1}} на такси.",ездит / едет,ездит,Scelta abituale ↔️.
8,Ezdit (↔️),Trasporto,"Анна любит {{1}} на велосипеде вокруг озера.",ездить / ехать,ездить,Abitudine/Passatempo ↔️.
9,Ezdit (↔️),Trasporto,"Студенты {{1}} на стажировку в Рим каждое лето.",ездят / едут,ездят,Abitudine stagionale ↔️.
10,Exat (➡️),Trasporto,"Посмотри! Тимур {{1}} на новом мотоцикле, ему это идет.",едет / ездит,едет,Vettore ➡️: Movimento osservato adesso.
11,Ezdit (↔️),Trasporto,"Андрей часто {{1}} в банк, но постоянно забывает квитанцию.",ездит / едет,ездит,Fatto ripetuto ↔️.
12,Exat (➡️),Trasporto,"Мы {{1}} с Катей за город на показ какого-то модного фильма.",едем / ездим,едем,Vettore ➡️: Meta del film.
13,Ezdit (↔️),Trasporto,"Вы часто {{1}} за город на выходные к друзьям?",ездите / едете,ездите,Domanda sull'abitudine ↔️.
14,Exat (➡️),Trasporto,"Я {{1}} в аэропорт, встретимся через две недели!",еду / езжу,еду,Vettore ➡️: Partenza.
15,Ezdit (↔️),Trasporto,"Женя никогда не {{1}} на старых трамваях, стиль важнее.",ездит / едет,ездит,Scelta di vita ↔️.
16,Ezdit (↔️),Trasporto,"Мы часто {{1}} на рынок за фермерским сыром для Кати.",ездим / едем,ездим,Abitudine sociale ↔️.
17,Ezdit (↔️),Trasporto,"Как часто вы {{1}} на море в этом году?",ездите / едете,ездите,Domanda sull'esperienza passata ↔️.
18,Ezdit (↔️),Trasporto,"Тимур {{1}} на физиотерапию три раза в неделю.",ездит / едет,ездит,Regolarità terapeutica ↔️.
19,Ezdit (↔️),Trasporto,"Лена {{1}} в торговый центр только на своей машине.",ездит / едет,ездит,Preferenza personale ↔️.
20,Ezdit (↔️),Trasporto,"Студенты обычно {{1}} в университет на метро.",ездят / едут,ездят,Norma abituale degli studenti ↔️.
21,Ezdit (↔️),Trasporto,"Вы {{1}} в этот киноклуб в центре каждую пятницу?",ездите / едете,ездите,Frequentazione ↔️.
22,Exat (➡️),Trasporto,"Андрей {{1}} в банк и надеется, что он еще открыт.",едет / ездит,едет,Vettore ➡️: Sforzo di arrivare in tempo.
23,Exat (➡️),Trasporto,"Анна {{1}} по улице на велосипеде и везет в корзинке цветы.",едет / ездит,едет,Vettore ➡️: Movimento in corso.
24,Exat (➡️),Trasporto,"Посмотри, как быстро {{1}} этот красный автомобиль!",едет / ездит,едет,Direzione visibile ➡️.
25,Exat (➡️),Trasporto,"Ребята, мы уже {{1}}! Будем у вас через десять минут.",едем / ездим,едем,Stadio finale ➡️.
26,Exat (➡️),Trasporto,"— Ты {{1}} со мной на такси или ждешь автобус?",едешь / ездишь,едешь,Proposta per il momento ➡️.
27,Exat (➡️),Trasporto,"Мы {{1}} на рынок за рыбой для праздничного ужина.",едем / ездим,едем,Vettore operativo ➡️.
28,Exat (➡️),Trasporto,"Смотри, почтовое авто {{1}} прямо к дому Андрея.",едет / ездит,едет,Vettore ➡️.
29,Exat (➡️),Trasporto,"— Вы куда? — Мы {{1}} на вокзал встречать Анну.",едем / ездим,едем,Meta ➡️.
30,Exat (➡️),Trasporto,"Тимур и Женя {{1}} на конференцию в Питер.",едут / ездят,едут,Evento puntuale ➡️.
31,Ezdit (↔️),Conjugation,"Я часто {{1}} в Рим на поезде.",езжу / еду,езжу,Forma 1ps.
32,Ezdit (↔️),Conjugation,"Ты часто {{1}} на велосипеде?",ездишь / едешь,ездишь,Forma 2ps.
33,Ezdit (↔️),Conjugation,"Лена {{1}} на работу на метро.",ездит / едет,ездит,Forma 3ps.
34,Ezdit (↔️),Conjugation,"Тимур {{1}} в библиотеку на самокате.",ездит / едет,ездит,Forma 3ps.
35,Ezdit (↔️),Conjugation,"Мы {{1}} в отпуск каждое лето.",ездим / едем,ездим,Forma 1pp.
36,Ezdit (↔️),Conjugation,"Вы {{1}} на такси или на автобусе?",ездите / едете,ездите,Forma 2pp.
37,Ezdit (↔️),Conjugation,"Студенты {{1}} на лекции на трамвае.",ездят / едут,ездят,Forma 3pp.
38,Ezdit (↔️),Conjugation,"Андрей и Дима часто {{1}} за город.",ездят / едут,ездят,Forma 3pp.
39,Ezdit (↔️),Conjugation,"Мои друзья {{1}} на скоростных машинах.",ездят / едут,ездят,Forma 3pp.
40,Ezdit (↔️),Conjugation,"Почему ты никогда не {{1}} на трамвае?",ездишь / едешь,ездишь,Forma 2ps.
41,Exat (➡️),Conjugation,"Я сейчас {{1}} в банк.",еду / езжу,еду,Forma 1ps.
42,Exat (➡️),Conjugation,"Куда ты {{1}} так поздно?",едешь / ездишь,едешь,Forma 2ps.
43,Exat (➡️),Conjugation,"Тимур {{1}} на презентацию своего проекта.",едет / ездит,едет,Forma 3ps.
44,Exat (➡️),Conjugation,"Лена {{1}} в Prada на новой машине.",едет / ездит,едет,Forma 3ps.
45,Exat (➡️),Conjugation,"Мы {{1}} в аэропорт на такси.",едем / ездим,едем,Forma 1pp.
46,Exat (➡️),Conjugation,"Вы {{1}} с нами в Питер?",едете / ездите,едете,Forma 2pp.
47,Exat (➡️),Conjugation,"Студенты {{1}} на вокзал.",едут / ездят,едут,Forma 3pp.
48,Exat (➡️),Conjugation,"Андрей и Дима сейчас {{1}} в центр.",едут / ездят,едут,Forma 3pp.
49,Exat (➡️),Conjugation,"Машина быстро {{1}} по шоссе.",едет / ездит,едет,Forma 3ps.
50,Exat (➡️),Conjugation,"Куда вы {{1}} в это воскресенье?",едете / ездите,едете,Forma 2pp.
